edge_id,source_node,target_node,edge_type,description,weight,evidence_type,flow_layer
EDGE-00557,People & demographics,Census,HAS_NICHE,Census is a niche under People & demographics,0.7,taxonomy,taxonomy
EDGE-00558,Census,AF04,ACQUIRED_BY,Census data can be acquired via AF04,0.65,acquisition mapping,source acquisition
EDGE-00559,Census,AF07,ACQUIRED_BY,Census data can be acquired via AF07,0.65,acquisition mapping,source acquisition
EDGE-00560,Census,AF08,ACQUIRED_BY,Census data can be acquired via AF08,0.65,acquisition mapping,source acquisition
EDGE-00561,Census,Person,MAPS_TO_OBJECT,Census maps to ontology object Person,0.7,ontology mapping,ontology
EDGE-00562,Census,Organisation,MAPS_TO_OBJECT,Census maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00563,Census,Event,MAPS_TO_OBJECT,Census maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00564,Census,AuditRecord,MAPS_TO_OBJECT,Census maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00565,People & demographics,Public figures,HAS_NICHE,Public figures is a niche under People & demographics,0.7,taxonomy,taxonomy
EDGE-00566,Public figures,AF03,ACQUIRED_BY,Public figures data can be acquired via AF03,0.65,acquisition mapping,source acquisition
EDGE-00567,Public figures,AF15,ACQUIRED_BY,Public figures data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00568,Public figures,AF19,ACQUIRED_BY,Public figures data can be acquired via AF19,0.65,acquisition mapping,source acquisition
EDGE-00569,Public figures,Person,MAPS_TO_OBJECT,Public figures maps to ontology object Person,0.7,ontology mapping,ontology
EDGE-00570,Public figures,Organisation,MAPS_TO_OBJECT,Public figures maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00571,Public figures,Event,MAPS_TO_OBJECT,Public figures maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00572,Public figures,AuditRecord,MAPS_TO_OBJECT,Public figures maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00573,People & demographics,Workforce,HAS_NICHE,Workforce is a niche under People & demographics,0.7,taxonomy,taxonomy
EDGE-00574,Workforce,AF18,ACQUIRED_BY,Workforce data can be acquired via AF18,0.65,acquisition mapping,source acquisition
EDGE-00575,Workforce,AF08,ACQUIRED_BY,Workforce data can be acquired via AF08,0.65,acquisition mapping,source acquisition
EDGE-00576,Workforce,AF16,ACQUIRED_BY,Workforce data can be acquired via AF16,0.65,acquisition mapping,source acquisition
EDGE-00577,Workforce,Person,MAPS_TO_OBJECT,Workforce maps to ontology object Person,0.7,ontology mapping,ontology
EDGE-00578,Workforce,Organisation,MAPS_TO_OBJECT,Workforce maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00579,Workforce,Event,MAPS_TO_OBJECT,Workforce maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00580,Workforce,AuditRecord,MAPS_TO_OBJECT,Workforce maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00581,People & demographics,Migration,HAS_NICHE,Migration is a niche under People & demographics,0.7,taxonomy,taxonomy
EDGE-00582,Migration,AF01,ACQUIRED_BY,Migration data can be acquired via AF01,0.65,acquisition mapping,source acquisition
EDGE-00583,Migration,AF06,ACQUIRED_BY,Migration data can be acquired via AF06,0.65,acquisition mapping,source acquisition
EDGE-00584,Migration,AF15,ACQUIRED_BY,Migration data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00585,Migration,Person,MAPS_TO_OBJECT,Migration maps to ontology object Person,0.7,ontology mapping,ontology
EDGE-00586,Migration,Organisation,MAPS_TO_OBJECT,Migration maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00587,Migration,Event,MAPS_TO_OBJECT,Migration maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00588,Migration,AuditRecord,MAPS_TO_OBJECT,Migration maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00589,People & demographics,Households,HAS_NICHE,Households is a niche under People & demographics,0.7,taxonomy,taxonomy
EDGE-00590,Households,AF05,ACQUIRED_BY,Households data can be acquired via AF05,0.65,acquisition mapping,source acquisition
EDGE-00591,Households,AF09,ACQUIRED_BY,Households data can be acquired via AF09,0.65,acquisition mapping,source acquisition
EDGE-00592,Households,Person,MAPS_TO_OBJECT,Households maps to ontology object Person,0.7,ontology mapping,ontology
EDGE-00593,Households,Organisation,MAPS_TO_OBJECT,Households maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00594,Households,Event,MAPS_TO_OBJECT,Households maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00595,Households,AuditRecord,MAPS_TO_OBJECT,Households maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00596,People & demographics,Education,HAS_NICHE,Education is a niche under People & demographics,0.7,taxonomy,taxonomy
EDGE-00597,Education,AF06,ACQUIRED_BY,Education data can be acquired via AF06,0.65,acquisition mapping,source acquisition
EDGE-00598,Education,AF02,ACQUIRED_BY,Education data can be acquired via AF02,0.65,acquisition mapping,source acquisition
EDGE-00599,Education,AF15,ACQUIRED_BY,Education data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00600,Education,Person,MAPS_TO_OBJECT,Education maps to ontology object Person,0.7,ontology mapping,ontology
EDGE-00601,Education,Organisation,MAPS_TO_OBJECT,Education maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00602,Education,Event,MAPS_TO_OBJECT,Education maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00603,Education,AuditRecord,MAPS_TO_OBJECT,Education maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00604,People & demographics,Health demographics,HAS_NICHE,Health demographics is a niche under People & demographics,0.7,taxonomy,taxonomy
EDGE-00605,Health demographics,AF04,ACQUIRED_BY,Health demographics data can be acquired via AF04,0.65,acquisition mapping,source acquisition
EDGE-00606,Health demographics,AF07,ACQUIRED_BY,Health demographics data can be acquired via AF07,0.65,acquisition mapping,source acquisition
EDGE-00607,Health demographics,AF08,ACQUIRED_BY,Health demographics data can be acquired via AF08,0.65,acquisition mapping,source acquisition
EDGE-00608,Health demographics,Person,MAPS_TO_OBJECT,Health demographics maps to ontology object Person,0.7,ontology mapping,ontology
EDGE-00609,Health demographics,Organisation,MAPS_TO_OBJECT,Health demographics maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00610,Health demographics,Event,MAPS_TO_OBJECT,Health demographics maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00611,Health demographics,AuditRecord,MAPS_TO_OBJECT,Health demographics maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00612,People & demographics,Social indicators,HAS_NICHE,Social indicators is a niche under People & demographics,0.7,taxonomy,taxonomy
EDGE-00613,Social indicators,AF19,ACQUIRED_BY,Social indicators data can be acquired via AF19,0.65,acquisition mapping,source acquisition
EDGE-00614,Social indicators,AF11,ACQUIRED_BY,Social indicators data can be acquired via AF11,0.65,acquisition mapping,source acquisition
EDGE-00615,Social indicators,AF15,ACQUIRED_BY,Social indicators data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00616,Social indicators,Person,MAPS_TO_OBJECT,Social indicators maps to ontology object Person,0.7,ontology mapping,ontology
EDGE-00617,Social indicators,Organisation,MAPS_TO_OBJECT,Social indicators maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00618,Social indicators,Event,MAPS_TO_OBJECT,Social indicators maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00619,Social indicators,AuditRecord,MAPS_TO_OBJECT,Social indicators maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00620,People & demographics,Mobility,HAS_NICHE,Mobility is a niche under People & demographics,0.7,taxonomy,taxonomy
EDGE-00621,Mobility,AF17,ACQUIRED_BY,Mobility data can be acquired via AF17,0.65,acquisition mapping,source acquisition
EDGE-00622,Mobility,AF12,ACQUIRED_BY,Mobility data can be acquired via AF12,0.65,acquisition mapping,source acquisition
EDGE-00623,Mobility,AF20,ACQUIRED_BY,Mobility data can be acquired via AF20,0.65,acquisition mapping,source acquisition
EDGE-00624,Mobility,Person,MAPS_TO_OBJECT,Mobility maps to ontology object Person,0.7,ontology mapping,ontology
EDGE-00625,Mobility,Organisation,MAPS_TO_OBJECT,Mobility maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00626,Mobility,Event,MAPS_TO_OBJECT,Mobility maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00627,Mobility,AuditRecord,MAPS_TO_OBJECT,Mobility maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00628,People & demographics,Identity resolution,HAS_NICHE,Identity resolution is a niche under People & demographics,0.7,taxonomy,taxonomy
EDGE-00629,Identity resolution,AF03,ACQUIRED_BY,Identity resolution data can be acquired via AF03,0.65,acquisition mapping,source acquisition
EDGE-00630,Identity resolution,AF15,ACQUIRED_BY,Identity resolution data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00631,Identity resolution,AF19,ACQUIRED_BY,Identity resolution data can be acquired via AF19,0.65,acquisition mapping,source acquisition
EDGE-00632,Identity resolution,Person,MAPS_TO_OBJECT,Identity resolution maps to ontology object Person,0.7,ontology mapping,ontology
EDGE-00633,Identity resolution,Organisation,MAPS_TO_OBJECT,Identity resolution maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00634,Identity resolution,Event,MAPS_TO_OBJECT,Identity resolution maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00635,Identity resolution,AuditRecord,MAPS_TO_OBJECT,Identity resolution maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00636,Society & culture,Languages,HAS_NICHE,Languages is a niche under Society & culture,0.7,taxonomy,taxonomy
EDGE-00637,Languages,AF04,ACQUIRED_BY,Languages data can be acquired via AF04,0.65,acquisition mapping,source acquisition
EDGE-00638,Languages,AF07,ACQUIRED_BY,Languages data can be acquired via AF07,0.65,acquisition mapping,source acquisition
EDGE-00639,Languages,AF08,ACQUIRED_BY,Languages data can be acquired via AF08,0.65,acquisition mapping,source acquisition
EDGE-00640,Languages,Document,MAPS_TO_OBJECT,Languages maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00641,Languages,Organisation,MAPS_TO_OBJECT,Languages maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00642,Languages,Event,MAPS_TO_OBJECT,Languages maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00643,Languages,AuditRecord,MAPS_TO_OBJECT,Languages maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00644,Society & culture,Religion/culture,HAS_NICHE,Religion/culture is a niche under Society & culture,0.7,taxonomy,taxonomy
EDGE-00645,Religion/culture,AF03,ACQUIRED_BY,Religion/culture data can be acquired via AF03,0.65,acquisition mapping,source acquisition
EDGE-00646,Religion/culture,AF15,ACQUIRED_BY,Religion/culture data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00647,Religion/culture,AF19,ACQUIRED_BY,Religion/culture data can be acquired via AF19,0.65,acquisition mapping,source acquisition
EDGE-00648,Religion/culture,Document,MAPS_TO_OBJECT,Religion/culture maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00649,Religion/culture,Organisation,MAPS_TO_OBJECT,Religion/culture maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00650,Religion/culture,Event,MAPS_TO_OBJECT,Religion/culture maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00651,Religion/culture,AuditRecord,MAPS_TO_OBJECT,Religion/culture maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00652,Society & culture,Heritage,HAS_NICHE,Heritage is a niche under Society & culture,0.7,taxonomy,taxonomy
EDGE-00653,Heritage,AF18,ACQUIRED_BY,Heritage data can be acquired via AF18,0.65,acquisition mapping,source acquisition
EDGE-00654,Heritage,AF08,ACQUIRED_BY,Heritage data can be acquired via AF08,0.65,acquisition mapping,source acquisition
EDGE-00655,Heritage,AF16,ACQUIRED_BY,Heritage data can be acquired via AF16,0.65,acquisition mapping,source acquisition
EDGE-00656,Heritage,Document,MAPS_TO_OBJECT,Heritage maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00657,Heritage,Organisation,MAPS_TO_OBJECT,Heritage maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00658,Heritage,Event,MAPS_TO_OBJECT,Heritage maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00659,Heritage,AuditRecord,MAPS_TO_OBJECT,Heritage maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00660,Society & culture,Arts,HAS_NICHE,Arts is a niche under Society & culture,0.7,taxonomy,taxonomy
EDGE-00661,Arts,AF01,ACQUIRED_BY,Arts data can be acquired via AF01,0.65,acquisition mapping,source acquisition
EDGE-00662,Arts,AF06,ACQUIRED_BY,Arts data can be acquired via AF06,0.65,acquisition mapping,source acquisition
EDGE-00663,Arts,AF15,ACQUIRED_BY,Arts data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00664,Arts,Document,MAPS_TO_OBJECT,Arts maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00665,Arts,Organisation,MAPS_TO_OBJECT,Arts maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00666,Arts,Event,MAPS_TO_OBJECT,Arts maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00667,Arts,AuditRecord,MAPS_TO_OBJECT,Arts maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00668,Society & culture,Media,HAS_NICHE,Media is a niche under Society & culture,0.7,taxonomy,taxonomy
EDGE-00669,Media,AF05,ACQUIRED_BY,Media data can be acquired via AF05,0.65,acquisition mapping,source acquisition
EDGE-00670,Media,AF09,ACQUIRED_BY,Media data can be acquired via AF09,0.65,acquisition mapping,source acquisition
EDGE-00671,Media,Document,MAPS_TO_OBJECT,Media maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00672,Media,Organisation,MAPS_TO_OBJECT,Media maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00673,Media,Event,MAPS_TO_OBJECT,Media maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00674,Media,AuditRecord,MAPS_TO_OBJECT,Media maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00675,Society & culture,Literature,HAS_NICHE,Literature is a niche under Society & culture,0.7,taxonomy,taxonomy
EDGE-00676,Literature,AF06,ACQUIRED_BY,Literature data can be acquired via AF06,0.65,acquisition mapping,source acquisition
EDGE-00677,Literature,AF02,ACQUIRED_BY,Literature data can be acquired via AF02,0.65,acquisition mapping,source acquisition
EDGE-00678,Literature,AF15,ACQUIRED_BY,Literature data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00679,Literature,Document,MAPS_TO_OBJECT,Literature maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00680,Literature,Organisation,MAPS_TO_OBJECT,Literature maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00681,Literature,Event,MAPS_TO_OBJECT,Literature maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00682,Literature,AuditRecord,MAPS_TO_OBJECT,Literature maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00683,Society & culture,Music/film,HAS_NICHE,Music/film is a niche under Society & culture,0.7,taxonomy,taxonomy
EDGE-00684,Music/film,AF04,ACQUIRED_BY,Music/film data can be acquired via AF04,0.65,acquisition mapping,source acquisition
EDGE-00685,Music/film,AF07,ACQUIRED_BY,Music/film data can be acquired via AF07,0.65,acquisition mapping,source acquisition
EDGE-00686,Music/film,AF08,ACQUIRED_BY,Music/film data can be acquired via AF08,0.65,acquisition mapping,source acquisition
EDGE-00687,Music/film,Document,MAPS_TO_OBJECT,Music/film maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00688,Music/film,Organisation,MAPS_TO_OBJECT,Music/film maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00689,Music/film,Event,MAPS_TO_OBJECT,Music/film maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00690,Music/film,AuditRecord,MAPS_TO_OBJECT,Music/film maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00691,Society & culture,Events,HAS_NICHE,Events is a niche under Society & culture,0.7,taxonomy,taxonomy
EDGE-00692,Events,AF19,ACQUIRED_BY,Events data can be acquired via AF19,0.65,acquisition mapping,source acquisition
EDGE-00693,Events,AF11,ACQUIRED_BY,Events data can be acquired via AF11,0.65,acquisition mapping,source acquisition
EDGE-00694,Events,AF15,ACQUIRED_BY,Events data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00695,Events,Document,MAPS_TO_OBJECT,Events maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00696,Events,Organisation,MAPS_TO_OBJECT,Events maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00697,Events,Event,MAPS_TO_OBJECT,Events maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00698,Events,AuditRecord,MAPS_TO_OBJECT,Events maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00699,Society & culture,Community services,HAS_NICHE,Community services is a niche under Society & culture,0.7,taxonomy,taxonomy
EDGE-00700,Community services,AF17,ACQUIRED_BY,Community services data can be acquired via AF17,0.65,acquisition mapping,source acquisition
EDGE-00701,Community services,AF12,ACQUIRED_BY,Community services data can be acquired via AF12,0.65,acquisition mapping,source acquisition
EDGE-00702,Community services,AF20,ACQUIRED_BY,Community services data can be acquired via AF20,0.65,acquisition mapping,source acquisition
EDGE-00703,Community services,Document,MAPS_TO_OBJECT,Community services maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00704,Community services,Organisation,MAPS_TO_OBJECT,Community services maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00705,Community services,Event,MAPS_TO_OBJECT,Community services maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00706,Community services,AuditRecord,MAPS_TO_OBJECT,Community services maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00707,Society & culture,Cultural policy,HAS_NICHE,Cultural policy is a niche under Society & culture,0.7,taxonomy,taxonomy
EDGE-00708,Cultural policy,AF03,ACQUIRED_BY,Cultural policy data can be acquired via AF03,0.65,acquisition mapping,source acquisition
EDGE-00709,Cultural policy,AF15,ACQUIRED_BY,Cultural policy data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00710,Cultural policy,AF19,ACQUIRED_BY,Cultural policy data can be acquired via AF19,0.65,acquisition mapping,source acquisition
EDGE-00711,Cultural policy,Document,MAPS_TO_OBJECT,Cultural policy maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00712,Cultural policy,Organisation,MAPS_TO_OBJECT,Cultural policy maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00713,Cultural policy,Event,MAPS_TO_OBJECT,Cultural policy maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00714,Cultural policy,AuditRecord,MAPS_TO_OBJECT,Cultural policy maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00715,Knowledge & education,Schools,HAS_NICHE,Schools is a niche under Knowledge & education,0.7,taxonomy,taxonomy
EDGE-00716,Schools,AF04,ACQUIRED_BY,Schools data can be acquired via AF04,0.65,acquisition mapping,source acquisition
EDGE-00717,Schools,AF07,ACQUIRED_BY,Schools data can be acquired via AF07,0.65,acquisition mapping,source acquisition
EDGE-00718,Schools,AF08,ACQUIRED_BY,Schools data can be acquired via AF08,0.65,acquisition mapping,source acquisition
EDGE-00719,Schools,Document,MAPS_TO_OBJECT,Schools maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00720,Schools,Organisation,MAPS_TO_OBJECT,Schools maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00721,Schools,Event,MAPS_TO_OBJECT,Schools maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00722,Schools,AuditRecord,MAPS_TO_OBJECT,Schools maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00723,Knowledge & education,Universities,HAS_NICHE,Universities is a niche under Knowledge & education,0.7,taxonomy,taxonomy
EDGE-00724,Universities,AF03,ACQUIRED_BY,Universities data can be acquired via AF03,0.65,acquisition mapping,source acquisition
EDGE-00725,Universities,AF15,ACQUIRED_BY,Universities data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00726,Universities,AF19,ACQUIRED_BY,Universities data can be acquired via AF19,0.65,acquisition mapping,source acquisition
EDGE-00727,Universities,Document,MAPS_TO_OBJECT,Universities maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00728,Universities,Organisation,MAPS_TO_OBJECT,Universities maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00729,Universities,Event,MAPS_TO_OBJECT,Universities maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00730,Universities,AuditRecord,MAPS_TO_OBJECT,Universities maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00731,Knowledge & education,Courses,HAS_NICHE,Courses is a niche under Knowledge & education,0.7,taxonomy,taxonomy
EDGE-00732,Courses,AF18,ACQUIRED_BY,Courses data can be acquired via AF18,0.65,acquisition mapping,source acquisition
EDGE-00733,Courses,AF08,ACQUIRED_BY,Courses data can be acquired via AF08,0.65,acquisition mapping,source acquisition
EDGE-00734,Courses,AF16,ACQUIRED_BY,Courses data can be acquired via AF16,0.65,acquisition mapping,source acquisition
EDGE-00735,Courses,Document,MAPS_TO_OBJECT,Courses maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00736,Courses,Organisation,MAPS_TO_OBJECT,Courses maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00737,Courses,Event,MAPS_TO_OBJECT,Courses maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00738,Courses,AuditRecord,MAPS_TO_OBJECT,Courses maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00739,Knowledge & education,Research,HAS_NICHE,Research is a niche under Knowledge & education,0.7,taxonomy,taxonomy
EDGE-00740,Research,AF01,ACQUIRED_BY,Research data can be acquired via AF01,0.65,acquisition mapping,source acquisition
EDGE-00741,Research,AF06,ACQUIRED_BY,Research data can be acquired via AF06,0.65,acquisition mapping,source acquisition
EDGE-00742,Research,AF15,ACQUIRED_BY,Research data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00743,Research,Document,MAPS_TO_OBJECT,Research maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00744,Research,Organisation,MAPS_TO_OBJECT,Research maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00745,Research,Event,MAPS_TO_OBJECT,Research maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00746,Research,AuditRecord,MAPS_TO_OBJECT,Research maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00747,Knowledge & education,Libraries,HAS_NICHE,Libraries is a niche under Knowledge & education,0.7,taxonomy,taxonomy
EDGE-00748,Libraries,AF05,ACQUIRED_BY,Libraries data can be acquired via AF05,0.65,acquisition mapping,source acquisition
EDGE-00749,Libraries,AF09,ACQUIRED_BY,Libraries data can be acquired via AF09,0.65,acquisition mapping,source acquisition
EDGE-00750,Libraries,Document,MAPS_TO_OBJECT,Libraries maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00751,Libraries,Organisation,MAPS_TO_OBJECT,Libraries maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00752,Libraries,Event,MAPS_TO_OBJECT,Libraries maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00753,Libraries,AuditRecord,MAPS_TO_OBJECT,Libraries maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00754,Knowledge & education,Textbooks,HAS_NICHE,Textbooks is a niche under Knowledge & education,0.7,taxonomy,taxonomy
EDGE-00755,Textbooks,AF06,ACQUIRED_BY,Textbooks data can be acquired via AF06,0.65,acquisition mapping,source acquisition
EDGE-00756,Textbooks,AF02,ACQUIRED_BY,Textbooks data can be acquired via AF02,0.65,acquisition mapping,source acquisition
EDGE-00757,Textbooks,AF15,ACQUIRED_BY,Textbooks data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00758,Textbooks,Document,MAPS_TO_OBJECT,Textbooks maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00759,Textbooks,Organisation,MAPS_TO_OBJECT,Textbooks maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00760,Textbooks,Event,MAPS_TO_OBJECT,Textbooks maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00761,Textbooks,AuditRecord,MAPS_TO_OBJECT,Textbooks maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00762,Knowledge & education,Outcomes,HAS_NICHE,Outcomes is a niche under Knowledge & education,0.7,taxonomy,taxonomy
EDGE-00763,Outcomes,AF04,ACQUIRED_BY,Outcomes data can be acquired via AF04,0.65,acquisition mapping,source acquisition
EDGE-00764,Outcomes,AF07,ACQUIRED_BY,Outcomes data can be acquired via AF07,0.65,acquisition mapping,source acquisition
EDGE-00765,Outcomes,AF08,ACQUIRED_BY,Outcomes data can be acquired via AF08,0.65,acquisition mapping,source acquisition
EDGE-00766,Outcomes,Document,MAPS_TO_OBJECT,Outcomes maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00767,Outcomes,Organisation,MAPS_TO_OBJECT,Outcomes maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00768,Outcomes,Event,MAPS_TO_OBJECT,Outcomes maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00769,Outcomes,AuditRecord,MAPS_TO_OBJECT,Outcomes maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00770,Knowledge & education,Teachers/workforce,HAS_NICHE,Teachers/workforce is a niche under Knowledge & education,0.7,taxonomy,taxonomy
EDGE-00771,Teachers/workforce,AF19,ACQUIRED_BY,Teachers/workforce data can be acquired via AF19,0.65,acquisition mapping,source acquisition
EDGE-00772,Teachers/workforce,AF11,ACQUIRED_BY,Teachers/workforce data can be acquired via AF11,0.65,acquisition mapping,source acquisition
EDGE-00773,Teachers/workforce,AF15,ACQUIRED_BY,Teachers/workforce data can be acquired via AF15,0.65,acquisition mapping,source acquisition
EDGE-00774,Teachers/workforce,Document,MAPS_TO_OBJECT,Teachers/workforce maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00775,Teachers/workforce,Organisation,MAPS_TO_OBJECT,Teachers/workforce maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00776,Teachers/workforce,Event,MAPS_TO_OBJECT,Teachers/workforce maps to ontology object Event,0.7,ontology mapping,ontology
EDGE-00777,Teachers/workforce,AuditRecord,MAPS_TO_OBJECT,Teachers/workforce maps to ontology object AuditRecord,0.7,ontology mapping,ontology
EDGE-00778,Knowledge & education,Facilities,HAS_NICHE,Facilities is a niche under Knowledge & education,0.7,taxonomy,taxonomy
EDGE-00779,Facilities,AF17,ACQUIRED_BY,Facilities data can be acquired via AF17,0.65,acquisition mapping,source acquisition
EDGE-00780,Facilities,AF12,ACQUIRED_BY,Facilities data can be acquired via AF12,0.65,acquisition mapping,source acquisition
EDGE-00781,Facilities,AF20,ACQUIRED_BY,Facilities data can be acquired via AF20,0.65,acquisition mapping,source acquisition
EDGE-00782,Facilities,Document,MAPS_TO_OBJECT,Facilities maps to ontology object Document,0.7,ontology mapping,ontology
EDGE-00783,Facilities,Organisation,MAPS_TO_OBJECT,Facilities maps to ontology object Organisation,0.7,ontology mapping,ontology
EDGE-00784,Facilities,Event,MAPS_TO_OBJECT,Facilities maps to ontology object Event,0.7,ontology mapping,ontology
