cell_id,master_topic_id,master_topic,master_topic_purpose,universal_niche_id,universal_niche,topic_specific_niche,operational_meaning,primary_acquisition_families,ontology_object_targets,core_flow,platforms,priority
CELL-0092,T010,Knowledge & education,"Model schools, universities, research, libraries, courses and outcomes.",N02,Historical archive,Universities,What happened before.,"AF03, AF15, AF19","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0093,T010,Knowledge & education,"Model schools, universities, research, libraries, courses and outcomes.",N03,Forecast / prediction,Courses,What is likely to happen.,"AF18, AF08, AF16","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0094,T010,Knowledge & education,"Model schools, universities, research, libraries, courses and outcomes.",N04,Registry / catalogue,Research,What exists and how it is identified.,"AF01, AF06, AF15","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0095,T010,Knowledge & education,"Model schools, universities, research, libraries, courses and outcomes.",N05,Geospatial layer,Libraries,Where it is.,"AF05, AF09","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0096,T010,Knowledge & education,"Model schools, universities, research, libraries, courses and outcomes.",N06,Entity relationships,Textbooks,"How people, assets, events and systems connect.","AF06, AF02, AF15","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0097,T010,Knowledge & education,"Model schools, universities, research, libraries, courses and outcomes.",N07,Event / incident feed,Outcomes,What changed or triggered action.,"AF04, AF07, AF08","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0098,T010,Knowledge & education,"Model schools, universities, research, libraries, courses and outcomes.",N08,Risk / compliance layer,Teachers/workforce,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0099,T010,Knowledge & education,"Model schools, universities, research, libraries, courses and outcomes.",N09,Operational workflow,Facilities,"What task, case, mission or business process follows.","AF17, AF12, AF20","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0100,T010,Knowledge & education,"Model schools, universities, research, libraries, courses and outcomes.",N10,Audit / provenance,Learning tech,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0101,T011,Science & research,"Track publications, datasets, patents, grants, labs, models and standards.",N01,Live status,Publications,What is happening now.,"AF04, AF07, AF08","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0102,T011,Science & research,"Track publications, datasets, patents, grants, labs, models and standards.",N02,Historical archive,Grants,What happened before.,"AF03, AF15, AF19","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0103,T011,Science & research,"Track publications, datasets, patents, grants, labs, models and standards.",N03,Forecast / prediction,Datasets,What is likely to happen.,"AF18, AF08, AF16","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0104,T011,Science & research,"Track publications, datasets, patents, grants, labs, models and standards.",N04,Registry / catalogue,Patents,What exists and how it is identified.,"AF01, AF06, AF15","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0105,T011,Science & research,"Track publications, datasets, patents, grants, labs, models and standards.",N05,Geospatial layer,Labs,Where it is.,"AF05, AF09","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0106,T011,Science & research,"Track publications, datasets, patents, grants, labs, models and standards.",N06,Entity relationships,Disciplines,"How people, assets, events and systems connect.","AF06, AF02, AF15","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0107,T011,Science & research,"Track publications, datasets, patents, grants, labs, models and standards.",N07,Event / incident feed,Peer review,What changed or triggered action.,"AF04, AF07, AF08","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0108,T011,Science & research,"Track publications, datasets, patents, grants, labs, models and standards.",N08,Risk / compliance layer,Models,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0109,T011,Science & research,"Track publications, datasets, patents, grants, labs, models and standards.",N09,Operational workflow,Standards,"What task, case, mission or business process follows.","AF17, AF12, AF20","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0110,T011,Science & research,"Track publications, datasets, patents, grants, labs, models and standards.",N10,Audit / provenance,Collaboration,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0111,T012,Technology & engineering,"Track software, hardware, AI, robotics, civil/electrical/mechanical systems and standards.",N01,Live status,Software,What is happening now.,"AF04, AF07, AF08","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0112,T012,Technology & engineering,"Track software, hardware, AI, robotics, civil/electrical/mechanical systems and standards.",N02,Historical archive,Hardware,What happened before.,"AF03, AF15, AF19","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0113,T012,Technology & engineering,"Track software, hardware, AI, robotics, civil/electrical/mechanical systems and standards.",N03,Forecast / prediction,AI/ML,What is likely to happen.,"AF18, AF08, AF16","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0114,T012,Technology & engineering,"Track software, hardware, AI, robotics, civil/electrical/mechanical systems and standards.",N04,Registry / catalogue,Robotics,What exists and how it is identified.,"AF01, AF06, AF15","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0115,T012,Technology & engineering,"Track software, hardware, AI, robotics, civil/electrical/mechanical systems and standards.",N05,Geospatial layer,Civil engineering,Where it is.,"AF05, AF09","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0116,T012,Technology & engineering,"Track software, hardware, AI, robotics, civil/electrical/mechanical systems and standards.",N06,Entity relationships,Electrical systems,"How people, assets, events and systems connect.","AF06, AF02, AF15","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0117,T012,Technology & engineering,"Track software, hardware, AI, robotics, civil/electrical/mechanical systems and standards.",N07,Event / incident feed,Mechanical systems,What changed or triggered action.,"AF04, AF07, AF08","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0118,T012,Technology & engineering,"Track software, hardware, AI, robotics, civil/electrical/mechanical systems and standards.",N08,Risk / compliance layer,Industrial control,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0119,T012,Technology & engineering,"Track software, hardware, AI, robotics, civil/electrical/mechanical systems and standards.",N09,Operational workflow,Patents,"What task, case, mission or business process follows.","AF17, AF12, AF20","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0120,T012,Technology & engineering,"Track software, hardware, AI, robotics, civil/electrical/mechanical systems and standards.",N10,Audit / provenance,Standards,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0121,T013,Information & communication,"Model internet, telecom, spectrum, media, archives and information quality.",N01,Live status,Internet infrastructure,What is happening now.,"AF04, AF07, AF08","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",1
CELL-0122,T013,Information & communication,"Model internet, telecom, spectrum, media, archives and information quality.",N02,Historical archive,Telecom,What happened before.,"AF03, AF15, AF19","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0123,T013,Information & communication,"Model internet, telecom, spectrum, media, archives and information quality.",N03,Forecast / prediction,Satellites,What is likely to happen.,"AF18, AF08, AF16","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0124,T013,Information & communication,"Model internet, telecom, spectrum, media, archives and information quality.",N04,Registry / catalogue,Media,What exists and how it is identified.,"AF01, AF06, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0125,T013,Information & communication,"Model internet, telecom, spectrum, media, archives and information quality.",N05,Geospatial layer,Public social platforms,Where it is.,"AF05, AF09","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0126,T013,Information & communication,"Model internet, telecom, spectrum, media, archives and information quality.",N06,Entity relationships,Knowledge graphs,"How people, assets, events and systems connect.","AF06, AF02, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",2
CELL-0127,T013,Information & communication,"Model internet, telecom, spectrum, media, archives and information quality.",N07,Event / incident feed,Archives,What changed or triggered action.,"AF04, AF07, AF08","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",1
CELL-0128,T013,Information & communication,"Model internet, telecom, spectrum, media, archives and information quality.",N08,Risk / compliance layer,Messaging systems,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham",1
CELL-0129,T013,Information & communication,"Model internet, telecom, spectrum, media, archives and information quality.",N09,Operational workflow,Radio spectrum,"What task, case, mission or business process follows.","AF17, AF12, AF20","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham, Apollo/AIP",2
CELL-0130,T013,Information & communication,"Model internet, telecom, spectrum, media, archives and information quality.",N10,Audit / provenance,Information quality,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Gotham, Apollo/AIP",2
CELL-0131,T014,Economy & industry,"Track national accounts, industries, companies, labour, trade, prices and regional economy.",N01,Live status,National accounts,What is happening now.,"AF04, AF07, AF08","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0132,T014,Economy & industry,"Track national accounts, industries, companies, labour, trade, prices and regional economy.",N02,Historical archive,Industries,What happened before.,"AF03, AF15, AF19","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0133,T014,Economy & industry,"Track national accounts, industries, companies, labour, trade, prices and regional economy.",N03,Forecast / prediction,Companies,What is likely to happen.,"AF18, AF08, AF16","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0134,T014,Economy & industry,"Track national accounts, industries, companies, labour, trade, prices and regional economy.",N04,Registry / catalogue,Production,What exists and how it is identified.,"AF01, AF06, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0135,T014,Economy & industry,"Track national accounts, industries, companies, labour, trade, prices and regional economy.",N05,Geospatial layer,Trade,Where it is.,"AF05, AF09","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0136,T014,Economy & industry,"Track national accounts, industries, companies, labour, trade, prices and regional economy.",N06,Entity relationships,Labour,"How people, assets, events and systems connect.","AF06, AF02, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0137,T014,Economy & industry,"Track national accounts, industries, companies, labour, trade, prices and regional economy.",N07,Event / incident feed,Prices,What changed or triggered action.,"AF04, AF07, AF08","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0138,T014,Economy & industry,"Track national accounts, industries, companies, labour, trade, prices and regional economy.",N08,Risk / compliance layer,Business surveys,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0139,T014,Economy & industry,"Track national accounts, industries, companies, labour, trade, prices and regional economy.",N09,Operational workflow,Regional economy,"What task, case, mission or business process follows.","AF17, AF12, AF20","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0140,T014,Economy & industry,"Track national accounts, industries, companies, labour, trade, prices and regional economy.",N10,Audit / provenance,Economic risk,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0141,T015,Products & commodities,"Model products, SKUs, commodities, chemicals, vehicles, electronics, food and benchmarks.",N01,Live status,Product catalogues,What is happening now.,"AF04, AF07, AF08","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0142,T015,Products & commodities,"Model products, SKUs, commodities, chemicals, vehicles, electronics, food and benchmarks.",N02,Historical archive,Commodities,What happened before.,"AF03, AF15, AF19","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0143,T015,Products & commodities,"Model products, SKUs, commodities, chemicals, vehicles, electronics, food and benchmarks.",N03,Forecast / prediction,Food,What is likely to happen.,"AF18, AF08, AF16","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0144,T015,Products & commodities,"Model products, SKUs, commodities, chemicals, vehicles, electronics, food and benchmarks.",N04,Registry / catalogue,Construction materials,What exists and how it is identified.,"AF01, AF06, AF15","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0145,T015,Products & commodities,"Model products, SKUs, commodities, chemicals, vehicles, electronics, food and benchmarks.",N05,Geospatial layer,Chemicals,Where it is.,"AF05, AF09","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0146,T015,Products & commodities,"Model products, SKUs, commodities, chemicals, vehicles, electronics, food and benchmarks.",N06,Entity relationships,Vehicles,"How people, assets, events and systems connect.","AF06, AF02, AF15","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0147,T015,Products & commodities,"Model products, SKUs, commodities, chemicals, vehicles, electronics, food and benchmarks.",N07,Event / incident feed,Electronics,What changed or triggered action.,"AF04, AF07, AF08","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0148,T015,Products & commodities,"Model products, SKUs, commodities, chemicals, vehicles, electronics, food and benchmarks.",N08,Risk / compliance layer,Medical products,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0149,T015,Products & commodities,"Model products, SKUs, commodities, chemicals, vehicles, electronics, food and benchmarks.",N09,Operational workflow,Retail availability,"What task, case, mission or business process follows.","AF17, AF12, AF20","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0150,T015,Products & commodities,"Model products, SKUs, commodities, chemicals, vehicles, electronics, food and benchmarks.",N10,Audit / provenance,Benchmarks,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Asset, Measurement, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0151,T016,Finance & ownership,"Model markets, banking, insurance, ownership, budgets, invoices, risk and regulation.",N01,Live status,Markets,What is happening now.,"AF04, AF07, AF08","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0152,T016,Finance & ownership,"Model markets, banking, insurance, ownership, budgets, invoices, risk and regulation.",N02,Historical archive,Banking,What happened before.,"AF03, AF15, AF19","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0153,T016,Finance & ownership,"Model markets, banking, insurance, ownership, budgets, invoices, risk and regulation.",N03,Forecast / prediction,Insurance,What is likely to happen.,"AF18, AF08, AF16","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0154,T016,Finance & ownership,"Model markets, banking, insurance, ownership, budgets, invoices, risk and regulation.",N04,Registry / catalogue,Property ownership,What exists and how it is identified.,"AF01, AF06, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0155,T016,Finance & ownership,"Model markets, banking, insurance, ownership, budgets, invoices, risk and regulation.",N05,Geospatial layer,Corporate ownership,Where it is.,"AF05, AF09","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0156,T016,Finance & ownership,"Model markets, banking, insurance, ownership, budgets, invoices, risk and regulation.",N06,Entity relationships,Budgets,"How people, assets, events and systems connect.","AF06, AF02, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0157,T016,Finance & ownership,"Model markets, banking, insurance, ownership, budgets, invoices, risk and regulation.",N07,Event / incident feed,Invoices,What changed or triggered action.,"AF04, AF07, AF08","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0158,T016,Finance & ownership,"Model markets, banking, insurance, ownership, budgets, invoices, risk and regulation.",N08,Risk / compliance layer,Fraud signals,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0159,T016,Finance & ownership,"Model markets, banking, insurance, ownership, budgets, invoices, risk and regulation.",N09,Operational workflow,Risk transfer,"What task, case, mission or business process follows.","AF17, AF12, AF20","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0160,T016,Finance & ownership,"Model markets, banking, insurance, ownership, budgets, invoices, risk and regulation.",N10,Audit / provenance,Financial regulation,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0161,T017,Government & public administration,"Track agencies, budgets, procurement, licences, services, statistics and public programs.",N01,Live status,Agencies,What is happening now.,"AF04, AF07, AF08","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0162,T017,Government & public administration,"Track agencies, budgets, procurement, licences, services, statistics and public programs.",N02,Historical archive,Budgets,What happened before.,"AF03, AF15, AF19","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0163,T017,Government & public administration,"Track agencies, budgets, procurement, licences, services, statistics and public programs.",N03,Forecast / prediction,Procurement,What is likely to happen.,"AF18, AF08, AF16","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0164,T017,Government & public administration,"Track agencies, budgets, procurement, licences, services, statistics and public programs.",N04,Registry / catalogue,Licences,What exists and how it is identified.,"AF01, AF06, AF15","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0165,T017,Government & public administration,"Track agencies, budgets, procurement, licences, services, statistics and public programs.",N05,Geospatial layer,Public services,Where it is.,"AF05, AF09","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0166,T017,Government & public administration,"Track agencies, budgets, procurement, licences, services, statistics and public programs.",N06,Entity relationships,Statistics,"How people, assets, events and systems connect.","AF06, AF02, AF15","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0167,T017,Government & public administration,"Track agencies, budgets, procurement, licences, services, statistics and public programs.",N07,Event / incident feed,Records,What changed or triggered action.,"AF04, AF07, AF08","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0168,T017,Government & public administration,"Track agencies, budgets, procurement, licences, services, statistics and public programs.",N08,Risk / compliance layer,Programs,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0169,T017,Government & public administration,"Track agencies, budgets, procurement, licences, services, statistics and public programs.",N09,Operational workflow,Assets,"What task, case, mission or business process follows.","AF17, AF12, AF20","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0170,T017,Government & public administration,"Track agencies, budgets, procurement, licences, services, statistics and public programs.",N10,Audit / provenance,Performance,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0171,T018,Law & regulation,"Model legislation, cases, enforcement, licences, sanctions, legal entities and standards.",N01,Live status,Legislation,What is happening now.,"AF04, AF07, AF08","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0172,T018,Law & regulation,"Model legislation, cases, enforcement, licences, sanctions, legal entities and standards.",N02,Historical archive,Cases,What happened before.,"AF03, AF15, AF19","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0173,T018,Law & regulation,"Model legislation, cases, enforcement, licences, sanctions, legal entities and standards.",N03,Forecast / prediction,Enforcement,What is likely to happen.,"AF18, AF08, AF16","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0174,T018,Law & regulation,"Model legislation, cases, enforcement, licences, sanctions, legal entities and standards.",N04,Registry / catalogue,Licences/permits,What exists and how it is identified.,"AF01, AF06, AF15","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0175,T018,Law & regulation,"Model legislation, cases, enforcement, licences, sanctions, legal entities and standards.",N05,Geospatial layer,Standards,Where it is.,"AF05, AF09","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0176,T018,Law & regulation,"Model legislation, cases, enforcement, licences, sanctions, legal entities and standards.",N06,Entity relationships,Treaties,"How people, assets, events and systems connect.","AF06, AF02, AF15","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
CELL-0177,T018,Law & regulation,"Model legislation, cases, enforcement, licences, sanctions, legal entities and standards.",N07,Event / incident feed,Sanctions,What changed or triggered action.,"AF04, AF07, AF08","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0178,T018,Law & regulation,"Model legislation, cases, enforcement, licences, sanctions, legal entities and standards.",N08,Risk / compliance layer,Legal entities,"What rules, hazards or obligations apply.","AF19, AF11, AF15","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,1
CELL-0179,T018,Law & regulation,"Model legislation, cases, enforcement, licences, sanctions, legal entities and standards.",N09,Operational workflow,Policy,"What task, case, mission or business process follows.","AF17, AF12, AF20","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0180,T018,Law & regulation,"Model legislation, cases, enforcement, licences, sanctions, legal entities and standards.",N10,Audit / provenance,Audit trail,"Who knew, changed, approved or acted, and when.","AF03, AF15, AF19","Document, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,"Foundry, Apollo/AIP",2
CELL-0181,T019,Politics & governance,"Track elections, offices, boundaries, parties, votes, donations, diplomacy and governance indicators.",N01,Live status,Elections,What is happening now.,"AF04, AF07, AF08","Person, Organisation, Event, AuditRecord",source -> pipeline -> data quality -> entity resolution -> ontology object/link -> model -> workflow/action -> audit,Foundry,2
