gap_id,category,plane,severity,gap,why_it_matters,current_v6_state,minimum_next_action,acceptance_evidence_required,v7_priority
GAP-0098,Standards and compliance,All,High,No accessibility conformance report,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0099,Standards and compliance,All,Medium,No secure SDLC evidence pack,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0100,Standards and compliance,All,Medium,No legal source approval evidence,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0101,Scale and hard technology,Apollo/Foundry/Gotham,Critical,No eBPF telemetry programs are compiled or loaded,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0102,Scale and hard technology,Apollo/Foundry/Gotham,High,No Merkle-DAG synchronisation implementation,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0103,Scale and hard technology,Apollo/Foundry/Gotham,High,No Roaring Bitmap query engine implementation,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0104,Scale and hard technology,Apollo/Foundry/Gotham,Medium,No bitemporal transaction engine beyond schema,This must be closed before claiming production-grade Palantir-style capability.,Documented/specification present,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0105,Scale and hard technology,Apollo/Foundry/Gotham,Medium,No FoundationDB/Cockroach/Spanner-class transaction design decision record,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0106,Scale and hard technology,Apollo/Foundry/Gotham,Critical,No multi-region active-active topology,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P0
GAP-0107,Scale and hard technology,Apollo/Foundry/Gotham,High,No classified/air-gapped deployment pattern tested,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0108,Scale and hard technology,Apollo/Foundry/Gotham,High,No deterministic replay for model/tool/workflow execution,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P1
GAP-0109,Scale and hard technology,Apollo/Foundry/Gotham,Medium,No GPU memory budget testing,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0110,Scale and hard technology,Apollo/Foundry/Gotham,Medium,No billion-row query benchmark,This must be closed before claiming production-grade Palantir-style capability.,Not yet implemented or not proven in runtime,"Create executable service/module, connect to real data/runtime, add tests, collect audit evidence","source code, deployment manifest, test results, performance metrics, policy decision logs, audit events",P2
GAP-0111,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for country/jurisdiction coverage, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create country/jurisdiction coverage registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0112,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for source-by-source legal approval, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create source-by-source legal approval registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0113,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for language/localisation, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create language/localisation registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0114,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for sensor class, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create sensor class registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0115,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for asset class, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create asset class registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0116,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for industry ontology, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create industry ontology registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0117,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for mission workflow, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create mission workflow registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0118,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for model/eval suite, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create model/eval suite registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0119,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for security control, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create security control registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0120,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for user role, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create user role registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0121,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for approval path, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create approval path registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0122,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for retention policy, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create retention policy registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0123,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for data quality dimension, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create data quality dimension registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0124,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for event type, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create event type registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0125,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for action type, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create action type registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0126,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for graph relationship type, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create graph relationship type registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0127,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for data classification, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create data classification registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0128,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for deployment environment, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create deployment environment registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0129,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for offline/airgap mode, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create offline/airgap mode registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0130,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for browser/device capability, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create browser/device capability registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0131,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for map/visual layer, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create map/visual layer registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0132,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for sound/effect cue, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create sound/effect cue registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0133,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for notification channel, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create notification channel registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0134,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for error state, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create error state registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0135,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for accessibility state, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create accessibility state registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0136,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for compliance regime, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create compliance regime registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0137,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for runtime SLO, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create runtime SLO registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0138,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for cost centre, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create cost centre registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0139,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for tenant boundary, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create tenant boundary registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
GAP-0140,Combinatorial expansion dimension,All,High,"Need systematic matrix expansion for incident scenario, not ad-hoc file generation","This is where millions/billions of real combinations come from; the platform needs generators, policy filters and testing matrices.",Partial coverage only,"Create incident scenario registry, generate coverage matrix, add acceptance tests and runtime UI surfaces","registry rows, generated matrix, route coverage, backend mapping, tests, audit evidence",P1
